episode,reward,length,x_pos,epsilon,loss,flag_reached,time
365,-34.50,184,889,0.1590,0.334287,0,848.4
366,-22.40,219,1149,0.1569,0.352862,0,850.6
367,-35.30,169,823,0.1552,0.410223,0,852.3
368,-42.70,262,1123,0.1527,0.360398,0,854.9
369,-31.40,134,722,0.1514,0.329578,0,856.3
370,-19.30,281,1428,0.1486,0.358713,0,859.3
371,-18.20,93,690,0.1477,0.370476,0,860.2
372,-18.40,95,694,0.1468,0.380852,0,861.2
373,-47.20,174,722,0.1451,0.336943,0,862.9
374,-30.90,31,313,0.1448,0.263508,0,863.2
375,-38.40,48,308,0.1443,0.638488,0,863.7
376,-12.60,82,702,0.1435,0.396435,0,864.5
377,-13.60,115,822,0.1424,0.442920,0,865.7
378,29.10,159,1426,0.1408,0.317230,0,867.3
379,-31.70,32,309,0.1405,0.264749,0,867.7
380,-46.00,346,1422,0.1371,0.360933,0,871.1
381,2.80,221,1412,0.1349,0.373097,0,873.4
382,-19.40,206,1127,0.1329,0.413044,0,875.6
383,20.10,180,1420,0.1311,0.423169,0,877.5
384,-18.30,96,701,0.1302,0.441309,0,878.5
385,-32.70,35,313,0.1299,0.496945,0,878.9
386,-36.40,43,306,0.1294,0.476615,0,879.3
387,-38.60,46,296,0.1290,0.330721,0,879.7
388,-8.00,65,680,0.1283,0.316740,0,880.4
389,-150.10,458,829,0.1239,0.344624,0,885.2
390,-27.50,111,667,0.1228,0.317907,0,886.3
391,-106.50,349,829,0.1194,0.386828,0,889.8
392,-46.20,164,692,0.1177,0.363076,0,891.5
393,-34.00,35,300,0.1174,0.346279,0,891.9
394,-31.70,122,671,0.1162,0.340735,0,893.2
395,-39.00,153,722,0.1147,0.438331,0,894.8
396,-30.80,164,846,0.1131,0.388621,0,896.4
397,-44.20,161,700,0.1115,0.405096,0,898.1
398,-32.20,32,306,0.1112,0.315078,0,898.4
399,-16.70,87,681,0.1104,0.380650,0,899.3
400,-21.20,101,690,0.1094,0.436758,0,900.3
401,-34.50,39,309,0.1090,0.295463,0,900.7
402,-21.40,103,696,0.1080,0.509983,0,901.7
403,-15.50,89,699,0.1071,0.396860,0,902.6
404,-45.20,62,296,0.1065,0.284602,0,903.2
405,-31.90,124,677,0.1053,0.454993,0,904.5
406,16.60,213,1516,0.1032,0.393794,0,906.7
407,-31.50,33,315,0.1029,0.452812,0,907.0
408,-13.60,90,722,0.1020,0.463035,0,908.0
409,-42.90,55,290,0.1014,0.391245,0,908.5
410,-35.40,144,722,0.1000,0.447896,0,910.0
411,-35.00,175,850,0.0983,0.367369,0,911.8
412,-31.20,31,310,0.0980,0.343781,0,912.1
413,-41.00,158,722,0.0965,0.404041,0,913.7
414,-50.10,358,1428,0.0930,0.452870,0,917.3
415,-53.00,290,1129,0.0901,0.357341,0,920.2
416,-63.20,258,899,0.0876,0.421971,0,922.8
417,-32.20,34,312,0.0873,0.335624,0,923.1
418,-21.20,100,688,0.0863,0.498781,0,924.2
419,8.70,142,1152,0.0849,0.402945,0,925.7
420,-25.70,221,1127,0.0827,0.418130,0,927.9
421,-47.00,165,690,0.0811,0.381141,0,929.6
422,-47.40,71,308,0.0804,0.366837,0,930.3
423,-38.90,254,1126,0.0779,0.370363,0,932.9
424,-30.80,177,898,0.0762,0.360241,0,934.7
425,-33.30,37,315,0.0758,0.273436,0,935.0
426,-19.10,96,693,0.0749,0.424461,0,936.0
427,-16.60,90,694,0.0740,0.420750,0,936.9
428,-15.30,83,679,0.0732,0.360576,0,937.7
429,-31.10,124,685,0.0720,0.334448,0,939.0
430,13.60,195,1413,0.0701,0.406283,0,941.1
431,-34.40,36,298,0.0697,0.357864,0,941.5
432,-62.30,246,859,0.0673,0.389033,0,944.0
433,-39.40,51,310,0.0668,0.343517,0,944.5
434,-17.20,96,712,0.0659,0.437513,0,945.5
435,-4.50,241,1416,0.0635,0.411109,0,947.9
436,-34.80,187,898,0.0617,0.448932,0,950.0
437,16.50,188,1414,0.0598,0.445478,0,952.2
438,-33.70,38,313,0.0594,0.520541,0,952.8
439,-9.00,71,694,0.0587,0.455325,0,953.6
440,-63.90,394,1434,0.0549,0.346080,0,957.7
441,0.10,228,1411,0.0527,0.367938,0,960.1
442,-51.00,77,298,0.0519,0.383334,0,960.9
443,-36.10,42,305,0.0515,0.292734,0,961.3
444,-35.30,318,1416,0.0484,0.354551,0,964.5
445,-40.40,147,682,0.0469,0.334642,0,966.0
446,-11.40,73,678,0.0462,0.412824,0,966.7
447,-12.60,87,723,0.0454,0.272427,0,967.6
448,2.00,223,1410,0.0432,0.382576,0,969.9
449,-64.90,116,313,0.0420,0.357911,0,971.0
450,-55.50,297,1132,0.0391,0.335385,0,974.1
451,-47.40,174,723,0.0374,0.470808,0,976.0
452,-37.20,45,306,0.0370,0.398093,0,976.4
453,-59.50,194,681,0.0351,0.359992,0,978.4
454,3.20,226,1433,0.0329,0.414262,0,980.6
455,-41.20,54,302,0.0323,0.357200,0,981.1
456,-33.20,131,692,0.0311,0.371486,0,982.3
457,-24.10,294,1434,0.0282,0.441720,0,985.0
458,-50.40,182,723,0.0264,0.357564,0,986.8
459,-173.70,590,1122,0.0206,0.417429,0,992.4
460,-82.70,157,299,0.0200,0.589494,0,993.8
461,-136.80,499,1128,0.0200,0.474195,0,998.4
462,-107.90,427,1127,0.0200,0.440311,0,13393.0
463,-61.40,311,1127,0.0200,0.427489,0,13396.3
464,-0.40,235,1435,0.0200,0.428942,0,13399.3
465,-10.30,71,679,0.0200,0.447044,0,13400.1
466,-97.00,298,722,0.0200,0.468673,0,13403.5
467,-76.60,247,723,0.0200,0.383814,0,13405.9
468,-55.20,194,722,0.0200,0.427244,0,13407.9
469,-44.60,65,314,0.0200,0.386932,0,13408.6
470,-49.80,357,1430,0.0200,0.447413,0,13412.3
471,-110.90,361,833,0.0200,0.466064,0,13416.0
472,-107.30,347,815,0.0200,0.455836,0,13419.4
473,-70.50,403,1406,0.0200,0.407378,0,13423.4
474,-90.80,327,899,0.0200,0.394597,0,13426.5
475,-16.10,89,695,0.0200,0.338749,0,13427.4
476,-20.90,100,689,0.0200,0.302598,0,13428.4
477,-31.00,237,1137,0.0200,0.458685,0,13430.8
478,-101.60,354,898,0.0200,0.460153,0,13434.3
479,-83.70,289,819,0.0200,0.433798,0,13437.1
480,-23.60,115,723,0.0200,0.461032,0,13438.2
481,-11.40,590,2744,0.0200,0.416737,0,13444.0
482,-73.80,136,304,0.0200,0.480366,0,13445.3
483,-72.00,231,702,0.0200,0.465418,0,13447.6
484,-75.00,287,898,0.0200,0.405809,0,13450.5
485,-18.40,97,702,0.0200,0.470209,0,13451.4
486,-57.80,194,696,0.0200,0.424066,0,13453.3
487,-113.20,511,1409,0.0200,0.417963,0,13458.1
488,-54.00,87,306,0.0200,0.448362,0,13458.9
489,-162.20,505,898,0.0200,0.415405,0,13464.0
490,-43.80,165,722,0.0200,0.441389,0,13465.6
491,-56.60,94,310,0.0200,0.400918,0,13466.5
492,23.10,198,1521,0.0200,0.420378,0,13468.4
493,21.30,181,1435,0.0200,0.372861,0,13470.2
494,-47.30,71,311,0.0200,0.527937,0,13470.8
495,-23.70,149,859,0.0200,0.503188,0,13472.2
496,-50.60,80,314,0.0200,0.410537,0,13473.0
497,-41.00,56,314,0.0200,0.364978,0,13473.5
498,-38.80,153,722,0.0200,0.378534,0,13474.9
499,-20.90,105,709,0.0200,0.564621,0,13475.9
500,-29.60,130,722,0.0200,0.421799,0,13477.1
501,-114.20,442,1126,0.0200,0.450939,0,13481.6
502,-39.60,155,724,0.0200,0.479316,0,13483.2
503,0.30,157,1128,0.0200,0.473624,0,13484.7
504,-29.80,232,1129,0.0200,0.509551,0,13487.1
505,-101.80,340,842,0.0200,0.494251,0,13490.5
506,-106.00,421,1124,0.0200,0.528960,0,13494.6
507,-63.00,109,304,0.0200,0.532948,0,13495.7
