episode,reward,length,x_pos,policy_loss,value_loss,entropy,flag_reached,time
418,16.60,214,1520,0,0,0,0,941.5
419,-14.30,88,707,0,0,0,0,942.4
420,-31.30,30,305,0,0,0,0,942.7
421,-31.80,31,304,0,0,0,0,942.9
422,-31.50,32,313,0,0,0,0,943.4
423,-0.80,159,1128,0,0,0,0,944.8
424,2.60,323,1816,0,0,0,0,948.2
425,-35.10,36,293,0,0,0,0,948.6
426,-34.20,35,296,0,0,0,0,948.9
427,-32.40,33,306,0,0,0,0,949.2
428,-31.40,30,306,0,0,0,0,949.5
429,-61.20,209,722,0,0,0,0,951.8
430,-17.50,227,1233,0,0,0,0,954.2
431,-29.80,28,312,0,0,0,0,954.4
432,-111.60,435,1123,0,0,0,0,959.0
433,-33.40,36,310,0,0,0,0,959.5
434,-38.90,43,283,0,0,0,0,959.8
435,-33.00,33,300,0,0,0,0,960.0
436,-30.20,29,314,0,0,0,0,960.2
437,-36.40,39,290,0,0,0,0,960.7
438,-5.70,92,809,0,0,0,0,961.5
439,-58.60,246,898,0,0,0,0,963.6
440,-11.50,74,681,0,0,0,0,964.4
441,-6.50,62,681,0,0,0,0,964.8
442,-9.80,74,698,0,0,0,0,965.6
443,-23.50,103,677,0,0,0,0,966.4
444,-31.70,31,305,0,0,0,0,966.7
445,-30.70,30,311,0,0,0,0,966.9
446,-13.50,191,1128,0,0,0,0,968.8
447,-20.70,97,681,0,0,0,0,969.7
448,-30.00,29,316,0,0,0,0,969.9
449,-66.80,204,646,0,0,0,0,971.5
450,-85.00,265,708,0,0,0,0,973.9
451,-35.70,41,305,0,0,0,0,974.4
452,-34.90,37,304,0,0,0,0,974.7
453,-24.30,287,1405,0,0,0,0,977.2
454,-5.50,59,679,0,0,0,0,977.9
455,-19.80,97,690,0,0,0,0,978.7
456,-30.10,28,309,0,0,0,0,978.9
457,-19.80,208,1134,0,0,0,0,980.7
458,-35.20,135,686,0,0,0,0,981.9
459,-46.90,53,244,0,0,0,0,982.4
460,-39.00,142,678,0,0,0,0,983.7
461,-30.80,29,306,0,0,0,0,983.9
462,17.00,114,1123,0,0,0,0,985.0
463,-14.80,137,898,0,0,0,0,986.1
464,-34.30,34,293,0,0,0,0,986.3
465,-29.60,27,312,0,0,0,0,986.7
466,-13.20,86,710,0,0,0,0,987.3
467,-7.00,178,1140,0,0,0,0,989.1
468,-49.10,347,1397,0,0,0,0,992.1
469,-92.70,389,1126,0,0,0,0,995.7
470,-16.10,199,1133,0,0,0,0,997.5
471,-54.20,191,722,0,0,0,0,999.1
472,15.00,255,1670,0,0,0,0,1001.4
473,-32.00,136,722,0,0,0,0,1002.8
474,17.90,142,1245,0,0,0,0,1004.1
475,1.40,156,1136,0,0,0,0,1005.4
476,-29.50,27,311,0,0,0,0,1005.6
477,-8.10,177,1127,0,0,0,0,1007.1
478,-40.40,46,278,0,0,0,0,1007.7
479,-20.40,151,898,0,0,0,0,1008.9
480,-33.20,33,298,0,0,0,0,1009.2
481,8.60,207,1414,0,0,0,0,1011.1
482,-23.00,108,702,0,0,0,0,1012.1
483,-19.60,139,860,0,0,0,0,1013.2
484,8.20,213,1433,0,0,0,0,1015.0
485,-10.30,183,1129,0,0,0,0,1017.0
486,-49.80,165,662,0,0,0,0,1018.4
487,-30.70,309,1429,0,0,0,0,1021.3
488,-19.00,97,698,0,0,0,0,1022.0
489,567.50,622,3161,0,0,0,1,1027.9
490,-33.10,239,1123,0,0,0,0,1030.2
491,-25.50,223,1136,0,0,0,0,1032.5
492,-30.20,29,312,0,0,0,0,1032.8
493,-29.50,27,313,0,0,0,0,1033.0
494,-48.40,171,698,0,0,0,0,1034.8
495,-75.20,244,722,0,0,0,0,1037.0
496,-23.80,101,666,0,0,0,0,1037.8
497,-36.20,340,1498,0,0,0,0,1040.8
498,-32.30,34,311,0,0,0,0,1041.1
499,8.60,211,1427,0,0,0,0,1043.1
500,-24.60,294,1429,0,0,0,0,1045.7
501,-15.80,139,899,0,0,0,0,1047.0
502,-29.70,27,309,0,0,0,0,1047.2
503,-19.80,149,898,0,0,0,0,1048.7
504,3.00,187,1276,0,0,0,0,1050.3
505,-27.20,154,844,0,0,0,0,1051.7
506,7.80,137,1126,0,0,0,0,1052.9
507,-29.30,27,315,0,0,0,0,1053.3
508,-29.40,27,312,0,0,0,0,1053.5
509,9.60,206,1417,0,0,0,0,1055.2
510,-17.50,90,685,0,0,0,0,1056.0
511,-29.30,27,313,0,0,0,0,1056.2
512,-4.80,68,722,0,0,0,0,1057.0
513,-29.60,27,310,0,0,0,0,1057.2
514,-11.00,83,722,0,0,0,0,1058.0
515,-7.60,72,712,0,0,0,0,1058.5
516,-7.60,178,1136,0,0,0,0,1060.2
517,-29.10,27,315,0,0,0,0,1060.4
518,-12.00,81,702,0,0,0,0,1061.0
519,-10.30,78,709,0,0,0,0,1061.8
520,-9.00,67,678,0,0,0,0,1062.4
521,-8.00,64,676,0,0,0,0,1062.9
522,-23.30,151,871,0,0,0,0,1064.2
523,22.10,179,1434,0,0,0,0,1066.0
524,-29.10,27,315,0,0,0,0,1066.2
525,-39.70,257,1130,0,0,0,0,1068.5
526,1.40,225,1413,0,0,0,0,1070.6
527,-22.60,100,672,0,0,0,0,1071.4
528,31.60,213,1666,0,0,0,0,1073.3
529,-16.30,87,683,0,0,0,0,1074.1
530,6.10,148,1152,0,0,0,0,1075.4
531,-29.80,27,310,0,0,0,0,1075.6
532,11.90,265,1677,0,0,0,0,1078.0
533,-29.10,27,315,0,0,0,0,1078.2
534,30.90,215,1667,0,0,0,0,1080.2
535,-31.40,30,306,0,0,0,0,1080.4
536,-18.00,145,898,0,0,0,0,1081.8
537,-31.10,32,315,0,0,0,0,1082.1
538,-19.60,124,798,0,0,0,0,1083.2
539,9.40,210,1432,0,0,0,0,1084.9
540,-40.70,182,819,0,0,0,0,1086.7
541,-25.00,295,1429,0,0,0,0,1089.2
542,34.30,276,1945,0,0,0,0,1091.7
543,-19.40,92,674,0,0,0,0,1092.5
544,-29.40,27,312,0,0,0,0,1092.7
545,11.50,158,1245,0,0,0,0,1094.1
546,43.60,256,1958,0,0,0,0,1096.3
547,-40.10,43,271,0,0,0,0,1096.8
548,-29.50,27,311,0,0,0,0,1097.0
549,-34.20,141,723,0,0,0,0,1098.3
550,28.60,158,1417,0,0,0,0,1099.6
551,27.50,164,1428,0,0,0,0,1101.2
552,-0.10,158,1128,0,0,0,0,1102.5
553,-26.60,222,1123,0,0,0,0,1104.6
554,6.20,142,1127,0,0,0,0,1105.8
555,16.40,215,1524,0,0,0,0,1107.6
556,-19.60,149,898,0,0,0,0,1109.0
557,16.80,249,1664,0,0,0,0,1111.1
558,-9.30,74,703,0,0,0,0,1111.9
559,27.30,165,1433,0,0,0,0,1113.3
560,1.10,157,1136,0,0,0,0,1114.8
561,-20.80,104,706,0,0,0,0,1115.6
562,-35.10,35,289,0,0,0,0,1116.1
563,29.20,161,1434,0,0,0,0,1117.4
564,-18.60,93,684,0,0,0,0,1118.3
565,-30.00,27,308,0,0,0,0,1118.5
566,-29.90,28,311,0,0,0,0,1118.7
567,27.80,164,1434,0,0,0,0,1120.2
568,-26.40,109,670,0,0,0,0,1121.1
